=== 信号评分结果 ===
黑石集团         | 日本生命保险将向黑石集团的信贷策略投资约94亿美元           | 评分:65 | 金融行业是户外广告高投放行业；综合评估为中优先级线索
华泰柏瑞         | 中韩半导体ETF华泰柏瑞：6月3日下午开市起至当日收市停牌       | 评分:65 | 金融行业是户外广告高投放行业；综合评估为中优先级线索
景顺长城         | 全球芯片LOF：6月3日下午开市起停牌至当日收市            | 评分:65 | 金融行业是户外广告高投放行业；综合评估为中优先级线索
星尘智能         | 深圳具身公司星尘智能完成超10亿B轮融资，估值破百亿｜硬氪首发     | 评分:55 | 待分析
旷行科技         | 36氪首发 | 浙大教授团队获财通、商汤投资，做高危场景具身机器人大脑 | 评分:55 | 待分析
腾讯           | 8点1氪丨腾讯股价暴涨，创2021年后单日最高涨幅；预计今年安排约11 | 评分:55 | 待分析
高德           | 氪星晚报｜私募股权公司Ardian将与Verne合作，斥资50亿欧元在 | 评分:55 | 待分析
美团           | 美团在竞争中看清自己                          | 评分:55 | 待分析
豆包           | 豆包6月下旬正式付费，并加速打通抖音电商丨36氪独家          | 评分:55 | 待分析
爱彼迎          | 做了18年民宿的爱彼迎，开始卖酒店了？                 | 评分:55 | 待分析
超级皮儿PEELSPHERE® | 深创投押注全球植纤皮革头部品牌，超级皮儿PEELSPHERE®完成近亿 | 评分:55 | 待分析
元生智能         | 36氪首发｜原小天才团队做老年硬件，切入居家看护赛道，即将进入海外市场 | 评分:55 | 待分析
元节智能         | 前美团外卖技术负责人创业，做具身智能时代的“餐饮世界模型”       | 评分:55 | 待分析
待识别          | 沪深两市成交额突破2万亿                        | 评分:55 | 待分析
待识别          | 创业板指午后涨幅扩大至4%                       | 评分:55 | 待分析
